Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
KALIMANTAN SELATAN,2015,110863.12,27786.68,3989793.6709243422,3314.14,2187.64,548.3090556643183,1671.13,KALIMANTAN
KALIMANTAN SELATAN,2017,121858.52,29578.79,4119793.9469464435,3933.49,2391.87,580.5800073503273,1831.94,KALIMANTAN
KALIMANTAN TIMUR,2015,440676.36,128603.13,3426637.905313813,2450.57,3007.3,877.6240977596348,1053.03,KALIMANTAN
KALIMANTAN TIMUR,2017,452741.91,126625.2,3575448.72584604,3769.59,3418.33,956.0562217798657,1437.95,KALIMANTAN
KALIMANTAN UTARA,2015,49315.75,76823.46,641936.0700494354,70.48,206.5,321.68312334294825,99.82,KALIMANTAN
KALIMANTAN UTARA,2017,54537.31,78918.57,691058.0108078491,184.58,180.59,261.32393688467585,73.6,KALIMANTAN
SULAWESI UTARA,2015,70425.33,29196.47,2412117.9717959054,1959.76,1302.58,540.0150470377632,358.03,SULAWESI
SULAWESI UTARA,2017,79484.03,32297.08,2461028.365412601,1937.36,1544.87,627.7335205524934,580.77,SULAWESI
SULAWESI TENGAH,2015,82787.2,28778.64,2876689.0999713675,1580.22,948.78,329.81666319431025,421.12,SULAWESI
SULAWESI TENGAH,2017,97474.86,32860.48,2966324.8984798756,1720.51,1068.79,360.30780058776185,490.62,SULAWESI
SULAWESI SELATAN,2015,250802.99,29435.92,8520304.104644937,5978.87,4479.46,525.739450726644,1232.35,SULAWESI
SULAWESI SELATAN,2017,288814.17,33234.11,8690293.496651482,5878.51,5172.5,595.20429338699,1450.85,SULAWESI
SULAWESI TENGGARA,2015,72993.33,29202.7,2499540.453451222,846.29,703.59,281.4877426882703,127.47,SULAWESI
SULAWESI TENGGARA,2017,83001.69,31894.42,2602389.0699376254,873.8,850.7,326.89193550155426,296.59,SULAWESI
GORONTALO,2015,22068.8,19474.13,1133236.7607692871,291.12,398.82,351.92998833647505,31.49,SULAWESI
GORONTALO,2017,25090.13,21477.78,1168190.1015840557,115.76,460.13,393.8828101488514,56.83,SULAWESI
SULAWESI BARAT,2015,25964.43,20250.51,1282161.7825921422,18.9,258.7,201.76860947842874,3.22,SULAWESI
SULAWESI BARAT,2017,29282.49,22001.01,1330961.1695099454,44.25,312.89,235.08574642730173,3.22,SULAWESI
MALUKU,2015,24859.2,14740.38,1686469.4125931626,781.38,509.51,302.1163598909055,236.76,MALUKU
MALUKU,2017,27814.05,15942.45,1744653.4252890865,620.77,463.05,265.4108794835704,263.37,MALUKU
MALUKU UTARA,2015,20380.3,17533.78,1162344.9136466866,170.35,329.44,283.42705863996116,73.81,MALUKU
MALUKU UTARA,2017,23210.86,19192.97,1209341.753777555,238.21,237.12,196.07360719938856,124.38,MALUKU
PAPUA BARAT,2015,52346.49,60064.13,871510.0010605332,447.95,455.58,522.7478737428239,112.76,PAPUA
PAPUA BARAT,2017,56907.96,62169.96,915361.0521866188,713.88,533.47,582.7973549078196,403.59,PAPUA
PAPUA,2015,130311.6,41376.97,3149375.1234080214,917.48,763.32,242.3718896890223,271.14,PAPUA
PAPUA,2017,148818.29,45577.05,3265202.3331918144,805.28,868.01,265.836512235828,128.19,PAPUA
INDONESIA,2015,8982517.1,35161.89,255461725.74909937,239750.07,204279.97,799.6500039330067,54624.17,NATIONAL
INDONESIA,2017,9912928.1,37851.37,261890866.82991922,262661.38,226014.06,863.0085605344198,58647.49,NATIONAL
ACEH,2018,126824.37,24013.79,5281314.194885522,517.15,2587.71,489.97463595443054,221.13,SUMATERA
ACEH,2019,132074.25,24587.82,5371531.514383951,542.64,2781.5,517.8225227854786,239.55,SUMATERA
SUMATERA UTARA,2018,512762.63,35570.5,14415390.000140566,20188.1,10445.02,724.574222403844,5017.05,SUMATERA
SUMATERA UTARA,2019,539513.85,37048.04,14562547.70832681,22407.08,8324.86,571.6623331808814,5679.04,SUMATERA
SUMATERA BARAT,2018,163996.19,30470.8,5382076.939233627,68.06,3496.18,649.5968079746243,59.84,SUMATERA
SUMATERA BARAT,2019,172213.79,31649.98,5441197.435195852,2946.3,3445.08,633.1473983494585,821.68,SUMATERA
RIAU,2018,482064.63,70736.77,6814908.710137598,1028.16,4377.21,642.299139457089,317.09,SUMATERA
RIAU,2019,495598.1,71086.67,6971744.491618471,852.32,4646.79,666.517541712327,373.22,SUMATERA
JAMBI,2018,142902,40025.52,3570272.166357864,122.38,1219.01,341.43335387328375,43.13,SUMATERA
JAMBI,2019,149142.59,41147.56,3624579.1974056303,122.81,1932,533.0273929130504,52.77,SUMATERA
SUMATERA SELATAN,2018,298484.07,35659.82,8370319.0313355485,16370,5501.26,657.2342080875538,4458.37,SUMATERA
SUMATERA SELATAN,2019,315474.27,37243.07,8470683.807752691,16127.75,5258.23,620.7562599831041,4348.66,SUMATERA
BENGKULU,2018,44164.11,22494.84,1963299.5833711198,146.49,907.45,462.20658715866796,51.06,SUMATERA
BENGKULU,2019,46345.45,23267.68,1991838.0345612455,152.12,955.47,479.6926172817396,66.61,SUMATERA
LAMPUNG,2018,232165.99,27736.26,8370486.503948262,40.6,4257.15,508.59051000105563,237.38,SUMATERA
LAMPUNG,2019,244380.37,28928.5,8447737.352437908,40.91,4686.09,554.7153994610942,237.38,SUMATERA
KEP. BANGKA BELITUNG,2018,52208.04,35762.04,1459873.0944878983,971.8,1066.35,730.4402033479901,285.92,SUMATERA
KEP. BANGKA BELITUNG,2019,53940.42,36231,1488791.918522812,1076.84,1166.93,783.810004260256,285.92,SUMATERA
KEP. RIAU,2018,173498.75,81206.2,2136520.979925178,2859.44,2990.44,1399.6773390471114,969.62,SUMATERA
